token,tag,AF_chatgpt,AF_published,AF_student,RF_chatgpt,RF_published,RF_student
and,cc,468,2125,382,486.23376623376623,337.5105223868744,279.3214390172565
the,dt,395,3301,828,410.3896103896104,524.2928161877988,605.4401871892367
of,in,378,2376,536,392.7272727272727,377.3764711488064,391.92746417081014
in,in,201,1449,314,208.8311688311688,230.14246914756754,229.5992980403627
will,md,199,96,39,206.75324675324677,15.247534187830562,28.517110266159698
this,dt,198,350,136,205.7142857142857,55.58996839313226,99.44428195378765
to,to,189,706,335,196.36363636363635,112.13290767300393,244.95466510675638
on,in,149,330,119,154.8051948051948,52.413398770667555,87.0137467095642
to,in,110,644,159,114.28571428571429,102.28554184336335,116.26206493126645
by,in,106,371,61,110.12987012987013,58.925366496720194,44.60368528809593
we,prp,104,181,58,108.05194805194806,28.747955083305538,42.410061421468264
project,nn,103,9,9,107.01298701298701,1.4294563301091152,6.5808715998830065
research,nn,100,39,16,103.8961038961039,6.194310763806166,11.6993272886809
analyzing,vbg,100,0,1,103.8961038961039,0,0.7312079555425562
significance,nn,100,3,0,103.8961038961039,0.47648544336970505,0
testing,nn,99,8,0,102.85714285714285,1.2706278489858802,0
study,nn,97,97,19,100.77922077922078,15.406362668953797,13.89295115530857
whether,in,96,33,8,99.74025974025973,5.241339877066755,5.84966364434045
findings,nns,96,15,1,99.74025974025973,2.382427216848525,0.7312079555425562
into,in,93,73,15,96.62337662337661,11.594479121996157,10.968119333138345
provide,vb,92,25,7,95.58441558441558,3.970712028080875,5.118455688797894
investigate,vb,92,21,4,95.58441558441558,3.335398103587935,2.924831822170225
insights,nns,91,5,2,94.54545454545455,0.7941424056161751,1.4624159110851125
a,dt,81,1021,281,84.15584415584416,162.16387922682293,205.46943550745831
data,nns,76,69,21,78.96103896103895,10.959165197503218,15.355367066393683
impact,nn,73,21,5,75.84415584415584,3.335398103587935,3.6560397777127815
social,jj,71,13,24,73.76623376623377,2.064770254602055,17.54899093302135
with,in,68,443,101,70.64935064935065,70.36101713759311,73.85200350979818
compared,vbn,61,34,3,63.37662337662337,5.40016835818999,2.193623866627669
employee,nn,60,0,0,62.33766233766234,0,0
utilize,vb,54,1,0,56.103896103896105,0.15882848112323503,0
performance,nn,53,30,3,55.064935064935064,4.76485443369705,2.193623866627669
levels,nns,51,37,4,52.98701298701298,5.876653801559695,2.924831822170225
higher,jjr,51,19,14,52.98701298701298,3.017741141341465,10.236911377595789
aims,vbz,51,4,3,52.98701298701298,0.6353139244929401,2.193623866627669
focuses,vbz,49,3,1,50.909090909090914,0.47648544336970505,0.7312079555425562
satisfaction,nn,48,0,0,49.870129870129865,0,0
explore,vb,47,3,9,48.83116883116883,0.47648544336970505,6.5808715998830065
practices,nns,47,8,0,48.83116883116883,1.2706278489858802,0
is,vbz,46,717,288,47.79220779220779,113.8800209653595,210.5878911962562
those,dt,46,36,18,47.79220779220779,5.717825320436461,13.161743199766013
financial,jj,45,2,7,46.753246753246756,0.31765696224647005,5.118455688797894
inform,vb,45,4,2,46.753246753246756,0.6353139244929401,1.4624159110851125
being,nn,45,0,1,46.753246753246756,0,0.7312079555425562
guide,vb,44,1,2,45.714285714285715,0.15882848112323503,1.4624159110851125
employ,vb,44,1,0,45.714285714285715,0.15882848112323503,0
work,nn,43,43,30,44.675324675324674,6.8296246882991065,21.93623866627669
media,nns,42,8,24,43.63636363636364,1.2706278489858802,17.54899093302135
for,in,42,622,123,43.63636363636364,98.79131525865219,89.93857853173442
between,in,42,100,47,43.63636363636364,15.8828481123235,34.36677391050015
who,wp,40,13,33,41.55844155844156,2.064770254602055,24.129862532904358
relationship,nn,40,3,22,41.55844155844156,0.47648544336970505,16.086575021936238
examining,vbg,40,8,2,41.55844155844156,1.2706278489858802,1.4624159110851125
health,nn,37,21,40,38.44155844155844,3.335398103587935,29.248318221702252
energy,nn,37,54,1,38.44155844155844,8.576737980654691,0.7312079555425562
well,nn,36,1,1,37.4025974025974,0.15882848112323503,0.7312079555425562
organizations,nns,36,0,0,37.4025974025974,0,0
has,vbz,34,208,80,35.324675324675326,33.03632407363288,58.496636443404505
strategies,nns,34,13,0,35.324675324675326,2.064770254602055,0
mental,jj,34,2,0,35.324675324675326,0.31765696224647005,0
customer,nn,34,0,0,35.324675324675326,0,0
online,jj,33,1,16,34.285714285714285,0.15882848112323503,11.6993272886809
effectiveness,nn,33,14,1,34.285714285714285,2.2235987357252904,0.7312079555425562
surveys,nns,31,2,0,32.20779220779221,0.31765696224647005,0
are,vbp,30,460,135,31.16883116883117,73.06110131668811,98.7130739982451
consumer,nn,30,4,2,31.16883116883117,0.6353139244929401,1.4624159110851125
diversity,nn,30,10,0,31.16883116883117,1.5882848112323502,0
individuals,nns,28,19,8,29.09090909090909,3.017741141341465,5.84966364434045
healthcare,nn,28,4,1,29.09090909090909,0.6353139244929401,0.7312079555425562
sustainable,jj,28,8,1,29.09090909090909,1.2706278489858802,0.7312079555425562
policymakers,nns,28,0,0,29.09090909090909,0,0
engagement,nn,27,2,3,28.051948051948052,0.31765696224647005,2.193623866627669
records,nns,27,0,0,28.051948051948052,0,0
leadership,nn,27,0,0,28.051948051948052,0,0
that,wdt,25,179,47,25.974025974025974,28.430298121059067,34.36677391050015
metrics,nns,25,4,1,25.974025974025974,0.6353139244929401,0.7312079555425562
have,vbp,24,226,54,24.935064935064933,35.895236733851114,39.485229599298044
organizational,jj,24,0,0,24.935064935064933,0,0
their,prp$,23,132,99,23.896103896103895,20.96535950826702,72.38958759871308
effective,jj,22,30,5,22.857142857142858,4.76485443369705,3.6560397777127815
outcomes,nns,22,11,4,22.857142857142858,1.7471132923555852,2.924831822170225
climate,nn,22,41,10,22.857142857142858,6.511967726052635,7.312079555425563
promoting,vbg,22,10,0,22.857142857142858,1.5882848112323502,0
as,in,21,426,141,21.81818181818182,67.66093295849812,103.10032173150043
traditional,jj,21,8,1,21.81818181818182,1.2706278489858802,0.7312079555425562
indicators,nns,21,3,0,21.81818181818182,0.47648544336970505,0
assessments,nns,20,13,0,20.77922077922078,2.064770254602055,0
rates,nns,19,17,2,19.740259740259738,2.700084179094995,1.4624159110851125
benefits,nns,19,11,2,19.740259740259738,1.7471132923555852,1.4624159110851125
interventions,nns,19,6,3,19.740259740259738,0.9529708867394101,2.193623866627669
behavior,nn,19,2,3,19.740259740259738,0.31765696224647005,2.193623866627669
training,nn,19,0,0,19.740259740259738,0,0
renewable,jj,19,7,0,19.740259740259738,1.1117993678626452,0
innovation,nn,19,0,0,19.740259740259738,0,0
literacy,nn,19,0,0,19.740259740259738,0,0
job,nn,18,0,9,18.7012987012987,0,6.5808715998830065
associated,vbn,18,42,7,18.7012987012987,6.67079620717587,5.118455688797894
role,nn,18,45,2,18.7012987012987,7.147281650545576,1.4624159110851125
management,nn,18,28,0,18.7012987012987,4.447197471450581,0
environmental,jj,18,32,0,18.7012987012987,5.082511395943521,0
such,jj,17,126,39,17.662337662337663,20.012388621527613,28.517110266159698
water,nn,17,71,3,17.662337662337663,11.276822159749686,2.193623866627669
tourism,nn,17,0,1,17.662337662337663,0,0.7312079555425562
businesses,nns,17,0,2,17.662337662337663,0,1.4624159110851125
learning,nn,17,4,0,17.662337662337663,0.6353139244929401,0
significant,jj,16,36,7,16.623376623376625,5.717825320436461,5.118455688797894
usage,nn,16,7,1,16.623376623376625,1.1117993678626452,0.7312079555425562
sustainability,nn,16,3,1,16.623376623376625,0.47648544336970505,0.7312079555425562
productivity,nn,16,1,0,16.623376623376625,0.15882848112323503,0
initiatives,nns,16,0,0,16.623376623376625,0,0
programs,nns,16,6,0,16.623376623376625,0.9529708867394101,0
education,nn,16,2,0,16.623376623376625,0.31765696224647005,0
ai,nnp,16,2,0,16.623376623376625,0.31765696224647005,0
loyalty,nn,16,0,0,16.623376623376625,0,0
well,rb,15,58,20,15.584415584415584,9.21205190514763,14.624159110851126
success,nn,15,5,13,15.584415584415584,0.7941424056161751,9.505703422053232
quality,nn,15,11,7,15.584415584415584,1.7471132923555852,5.118455688797894
digital,jj,15,0,5,15.584415584415584,0,3.6560397777127815
mindfulness,nn,15,0,0,15.584415584415584,0,0
student,nn,15,0,0,15.584415584415584,0,0
marketing,nn,15,0,0,15.584415584415584,0,0
supply,nn,14,15,3,14.545454545454545,2.382427216848525,2.193623866627669
lower,jjr,14,17,4,14.545454545454545,2.700084179094995,2.924831822170225
examine,vb,14,5,8,14.545454545454545,0.7941424056161751,5.84966364434045
challenges,nns,14,9,1,14.545454545454545,1.4294563301091152,0.7312079555425562
economic,jj,14,14,3,14.545454545454545,2.2235987357252904,2.193623866627669
measures,nns,14,13,2,14.545454545454545,2.064770254602055,1.4624159110851125
exhibit,vbp,14,5,0,14.545454545454545,0.7941424056161751,0
designing,vbg,14,0,0,14.545454545454545,0,0
adoption,nn,14,6,0,14.545454545454545,0.9529708867394101,0
developing,vbg,14,11,0,14.545454545454545,1.7471132923555852,0
survey,nn,14,6,0,14.545454545454545,0.9529708867394101,0
or,cc,13,203,50,13.506493506493507,32.24218166801671,36.56039777712782
platforms,nns,13,1,19,13.506493506493507,0.15882848112323503,13.89295115530857
access,nn,13,9,6,13.506493506493507,1.4294563301091152,4.387247733255338
academic,jj,13,1,0,13.506493506493507,0.15882848112323503,0
cybersecurity,nn,13,0,0,13.506493506493507,0,0
chain,nn,13,12,0,13.506493506493507,1.9059417734788202,0
remote,jj,13,5,0,13.506493506493507,0.7941424056161751,0
companies,nns,12,1,15,12.467532467532466,0.15882848112323503,10.968119333138345
crucial,jj,12,7,7,12.467532467532466,1.1117993678626452,5.118455688797894
change,nn,12,32,9,12.467532467532466,5.082511395943521,6.5808715998830065
based,vbn,12,72,12,12.467532467532466,11.435650640872922,8.774495466510675
brand,nn,12,1,4,12.467532467532466,0.15882848112323503,2.924831822170225
emissions,nns,12,14,1,12.467532467532466,2.2235987357252904,0.7312079555425562
become,vbn,12,5,11,12.467532467532466,0.7941424056161751,8.043287510968119
services,nns,12,22,1,12.467532467532466,3.4942265847111704,0.7312079555425562
industry,nn,12,8,1,12.467532467532466,1.2706278489858802,0.7312079555425562
business,nn,12,1,1,12.467532467532466,0.15882848112323503,0.7312079555425562
program,nn,12,5,0,12.467532467532466,0.7941424056161751,0
workplace,nn,12,0,0,12.467532467532466,0,0
contribute,vb,11,5,2,11.428571428571429,0.7941424056161751,1.4624159110851125
factors,nns,11,44,42,11.428571428571429,6.988453169422341,30.710734132787366
better,jjr,11,4,11,11.428571428571429,0.6353139244929401,8.043287510968119
not,rb,11,141,23,11.428571428571429,22.39481583837614,16.817782977478792
fostering,vbg,11,0,0,11.428571428571429,0,0
engage,vbp,11,0,0,11.428571428571429,0,0
systems,nns,11,45,0,11.428571428571429,7.147281650545576,0
purchase,nn,11,0,0,11.428571428571429,0,0
demonstrate,vbp,11,4,0,11.428571428571429,0.6353139244929401,0
conservation,nn,11,9,0,11.428571428571429,1.4294563301091152,0
consumption,nn,11,19,0,11.428571428571429,3.017741141341465,0
gained,vbn,11,3,0,11.428571428571429,0.47648544336970505,0
inclusion,nn,11,2,0,11.428571428571429,0.31765696224647005,0
csr,nnp,11,0,0,11.428571428571429,0,0
increased,vbn,10,23,6,10.38961038961039,3.653055065834405,4.387247733255338
patterns,nns,10,10,10,10.38961038961039,1.5882848112323502,7.312079555425563
life,nn,10,24,13,10.38961038961039,3.8118835469576404,9.505703422053232
importance,nn,10,15,3,10.38961038961039,2.382427216848525,2.193623866627669
culture,nn,10,6,3,10.38961038961039,0.9529708867394101,2.193623866627669
development,nn,10,43,2,10.38961038961039,6.8296246882991065,1.4624159110851125
positive,jj,10,11,3,10.38961038961039,1.7471132923555852,2.193623866627669
various,jj,10,39,7,10.38961038961039,6.194310763806166,5.118455688797894
patient,jj,10,0,1,10.38961038961039,0,0.7312079555425562
experience,nn,10,16,1,10.38961038961039,2.5412556979717604,0.7312079555425562
cultural,jj,10,0,2,10.38961038961039,0,1.4624159110851125
employees,nns,10,0,0,10.38961038961039,0,0
inclusive,jj,10,0,0,10.38961038961039,0,0
implementation,nn,10,8,0,10.38961038961039,1.2706278489858802,0
technology,nn,9,14,8,9.35064935064935,2.2235987357252904,5.84966364434045
team,nn,9,0,9,9.35064935064935,0,6.5808715998830065
critical,jj,9,21,2,9.35064935064935,3.335398103587935,1.4624159110851125
influence,nn,9,9,4,9.35064935064935,1.4294563301091152,2.924831822170225
global,jj,9,26,3,9.35064935064935,4.12954050920411,2.193623866627669
effects,nns,9,48,4,9.35064935064935,7.623767093915281,2.924831822170225
do,vbp,9,12,6,9.35064935064935,1.9059417734788202,4.387247733255338
stress,nn,9,32,0,9.35064935064935,5.082511395943521,0
feedback,nn,9,3,0,9.35064935064935,0.47648544336970505,0
green,jj,9,5,0,9.35064935064935,0.7941424056161751,0
reviews,nns,9,1,0,9.35064935064935,0.15882848112323503,0
balance,nn,9,5,0,9.35064935064935,0.7941424056161751,0
entrepreneurial,jj,9,0,0,9.35064935064935,0,0
way,nn,8,25,9,8.311688311688313,3.970712028080875,6.5808715998830065
understanding,nn,8,12,13,8.311688311688313,1.9059417734788202,9.505703422053232
potential,jj,8,22,9,8.311688311688313,3.4942265847111704,6.5808715998830065
carbon,nn,8,20,1,8.311688311688313,3.1765696224647004,0.7312079555425562
psychological,jj,8,1,1,8.311688311688313,0.15882848112323503,0.7312079555425562
participation,nn,8,3,1,8.311688311688313,0.47648544336970505,0.7312079555425562
activity,nn,8,46,1,8.311688311688313,7.30611013166881,0.7312079555425562
decisions,nns,8,2,2,8.311688311688313,0.31765696224647005,1.4624159110851125
growth,nn,8,50,2,8.311688311688313,7.94142405616175,1.4624159110851125
environments,nns,8,9,1,8.311688311688313,1.4294563301091152,0.7312079555425562
transformed,vbn,8,3,0,8.311688311688313,0.47648544336970505,0
ethical,jj,8,1,0,8.311688311688313,0.15882848112323503,0
destination,nn,8,2,0,8.311688311688313,0.31765696224647005,0
healthy,jj,8,6,0,8.311688311688313,0.9529708867394101,0
experience,vbp,8,2,0,8.311688311688313,0.31765696224647005,0
implementing,vbg,8,2,0,8.311688311688313,0.31765696224647005,0
agricultural,jj,8,1,0,8.311688311688313,0.15882848112323503,0
reputation,nn,8,1,0,8.311688311688313,0.15882848112323503,0
