author_type,doc_id,noun_phrase,root_text,pre_nom,post_nom,start_idx,end_idx,root_idx,np_len,n_pre,n_post
chatgpt,chatgpt-200-1_001,Employee engagement,engagement,NN,NA,1,2,2,2,1,0
chatgpt,chatgpt-200-1_001,"organizational success, productivity, and employee well-being",success,JJ,NN,6,15,7,7,1,5
chatgpt,chatgpt-200-1_001,This research project,project,NN,NA,17,19,19,3,2,0
chatgpt,chatgpt-200-1_001,the influence of workplace well-being initiatives on employee engagement,influence,DT,IN,23,33,24,10,1,8
chatgpt,chatgpt-200-1_001,employee engagement surveys,surveys,NN,NA,37,39,39,3,2,0
chatgpt,chatgpt-200-1_001,we,we,NA,NA,52,52,52,1,0,0
chatgpt,chatgpt-200-1_001,significance testing,testing,NN,NA,55,56,56,2,1,0
chatgpt,chatgpt-200-1_001,who,who,NA,NA,61,61,61,1,0,0
chatgpt,chatgpt-200-1_001,higher levels of engagement and job satisfaction,levels,JJR,IN,70,76,71,7,1,5
chatgpt,chatgpt-200-1_001,those who do not engage in such initiatives,those,NA,WP,79,86,79,8,0,7
chatgpt,chatgpt-200-1_001,The findings of this study,findings,DT,IN,88,92,89,5,1,3
chatgpt,chatgpt-200-1_001,insights into the effectiveness of well-being programs in fostering employee engagement and guide organizations in designing comprehensive employee well-being strategies,insights,NA,IN,95,118,95,22,0,21
chatgpt,chatgpt-200-1_002,Social media platforms,platforms,NNS,NA,1,3,3,3,2,0
chatgpt,chatgpt-200-1_002,the way individuals interact and communicate,way,DT,NNS,6,11,7,6,1,4
chatgpt,chatgpt-200-1_002,concerns about their impact on interpersonal relationships,concerns,NA,IN,14,20,14,7,0,6
chatgpt,chatgpt-200-1_002,This research project,project,NN,NA,22,24,24,3,2,0
chatgpt,chatgpt-200-1_002,the relationship between social media usage,relationship,DT,IN,28,33,29,6,1,4
chatgpt,chatgpt-200-1_002,social support,support,JJ,NA,36,37,37,2,1,0
chatgpt,chatgpt-200-1_002,surveys,surveys,NA,NA,41,41,41,1,0,0
chatgpt,chatgpt-200-1_002,data on social media activity,data,NA,IN,44,48,44,5,0,4
