doc_id	noun_phrase	root_text	pre_nom	post_nom	start_idx	end_idx	root_idx
chatgpt-200-1_001	Employee engagement	engagement	NN	VBZ	0	1	1
chatgpt-200-1_001	organizational success, productivity, and employee well-being	success	JJ	NN	5	14	6
chatgpt-200-1_001	productivity, and employee well-being	productivity	,	CC	8	14	8
chatgpt-200-1_001	employee well-being	being	HYPH	.	11	14	14
chatgpt-200-1_001	This research project	project	NN	VBZ	16	18	18
chatgpt-200-1_001	the influence of workplace well-being initiatives on employee engagement	influence	DT	IN	22	32	23
chatgpt-200-1_001	workplace well-being initiatives on employee engagement	initiatives	VBG	IN	25	32	29
chatgpt-200-1_001	employee engagement	engagement	NN	.	31	32	32
chatgpt-200-1_001	employee engagement surveys	surveys	NN	RB	36	38	38
chatgpt-200-1_001	we	we	,	MD	51	51	51
chatgpt-200-1_001	significance testing	testing	NN	TO	54	55	55
chatgpt-200-1_001	who	who	NNS	VBP	60	60	60
chatgpt-200-1_001	higher levels of engagement and job satisfaction	levels	JJR	IN	69	75	70
chatgpt-200-1_001	engagement and job satisfaction	satisfaction	NN	VBN	72	75	75
chatgpt-200-1_001	those who do not engage in such initiatives	those	IN	WP	78	85	78
chatgpt-200-1_001	who	who	DT	VBP	79	79	79
chatgpt-200-1_001	such initiatives	initiatives	JJ	.	84	85	85
chatgpt-200-1_001	The findings of this study	findings	DT	IN	87	91	88
chatgpt-200-1_001	this study	study	DT	MD	90	91	91
chatgpt-200-1_001	insights into the effectiveness of well-being programs in fostering employee engagement and guide organizations in designing comprehensive employee well-being strategies	insights	VB	IN	94	117	94
chatgpt-200-1_001	the effectiveness of well-being programs in fostering employee engagement and guide organizations in designing comprehensive employee well-being strategies	effectiveness	DT	IN	96	117	97
chatgpt-200-1_001	well-being programs in fostering employee engagement and guide organizations in designing comprehensive employee well-being strategies	programs	VBG	IN	99	117	102
chatgpt-200-1_001	employee engagement and	engagement	NN	CC	105	107	106
chatgpt-200-1_001	organizations	organizations	VB	IN	109	109	109
chatgpt-200-1_001	comprehensive employee	employee	JJ	NN	112	113	113
chatgpt-200-1_001	well-being strategies	strategies	NN	.	114	117	117
chatgpt-200-1_002	Social media platforms	platforms	NNS	VBP	0	2	2
chatgpt-200-1_002	the way individuals interact and communicate	way	DT	NNS	5	10	6
chatgpt-200-1_002	individuals	individuals	NN	VBP	7	7	7
chatgpt-200-1_002	concerns about their impact on interpersonal relationships	concerns	VBG	IN	13	19	13
chatgpt-200-1_002	their impact on interpersonal relationships	impact	PRP$	IN	15	19	16
chatgpt-200-1_002	interpersonal relationships	relationships	JJ	.	18	19	19
chatgpt-200-1_002	This research project	project	NN	VBZ	21	23	23
chatgpt-200-1_002	the relationship between social media usage	relationship	DT	IN	27	32	28
chatgpt-200-1_002	social media usage	usage	NNS	CC	30	32	32
chatgpt-200-1_002	social support	support	JJ	.	35	36	36
chatgpt-200-1_002	surveys	surveys	VBG	CC	40	40	40
chatgpt-200-1_002	data on social media activity	data	VBG	IN	43	47	43
chatgpt-200-1_002	social media activity	activity	NNS	CC	45	47	47
chatgpt-200-1_002	social support levels	levels	NN	PRP	50	52	52
chatgpt-200-1_002	we	we	,	MD	54	54	54
chatgpt-200-1_002	significance testing	testing	NN	TO	57	58	58
chatgpt-200-1_002	higher social media usage	usage	NNS	VBZ	62	65	65
chatgpt-200-1_002	lower levels of perceived social support	levels	JJR	IN	69	74	70
chatgpt-200-1_002	perceived social support	support	JJ	.	72	74	74
chatgpt-200-1_002	The findings of this study	findings	DT	IN	76	80	77
chatgpt-200-1_002	this study	study	DT	MD	79	80	80
chatgpt-200-1_002	a better understanding of the social dynamics influenced by social media	understanding	JJR	IN	84	94	86
chatgpt-200-1_002	the social dynamics influenced by social media	dynamics	JJ	VBN	88	94	90
chatgpt-200-1_002	social media	media	JJ	CC	93	94	94
chatgpt-200-1_002	insights into the implications for individual well-being and relationship satisfaction	insights	VB	IN	97	108	97
chatgpt-200-1_002	the implications for individual well-being and relationship satisfaction	implications	DT	IN	99	108	100
chatgpt-200-1_002	individual well-being and relationship satisfaction	satisfaction	NN	.	102	108	108
chatgpt-200-1_003	Mental health issues	issues	NN	VBP	0	2	2
chatgpt-200-1_003	a significant concern	concern	JJ	IN	5	7	7
chatgpt-200-1_003	a rising prevalence globally	prevalence	VBG	RB	10	13	12
chatgpt-200-1_003	This research project	project	NN	VBZ	15	17	17
chatgpt-200-1_003	the impact of mindfulness-based interventions on mental well-being	impact	DT	IN	21	32	22
chatgpt-200-1_003	mindfulness-based interventions on mental well-being	interventions	VBN	IN	24	32	27
chatgpt-200-1_003	mental well-being	being	HYPH	.	29	32	32
chatgpt-200-1_003	psychological assessments	assessments	JJ	NN	36	37	37
chatgpt-200-1_003	we	we	,	MD	50	50	50
chatgpt-200-1_003	significance testing	testing	NN	TO	53	54	54
chatgpt-200-1_003	individuals who undergo mindfulness-based interventions experience	individuals	IN	WP	58	65	58
chatgpt-200-1_003	who	who	NNS	VBP	59	59	59
chatgpt-200-1_003	mindfulness-based interventions experience	experience	NNS	VBD	61	65	65
chatgpt-200-1_003	mental well-being	being	HYPH	VBN	67	70	70
chatgpt-200-1_003	those who do not participate in such interventions	those	IN	WP	73	80	73
chatgpt-200-1_003	who	who	DT	VBP	74	74	74
chatgpt-200-1_003	such interventions	interventions	JJ	.	79	80	80
chatgpt-200-1_003	The findings of this study	findings	DT	IN	82	86	83
chatgpt-200-1_003	this study	study	DT	MD	85	86	86
chatgpt-200-1_003	insights into the effectiveness of mindfulness-based approaches in promoting mental well-being and guide mental health practitioners in designing intervention programs	insights	VB	IN	89	112	89
chatgpt-200-1_003	the effectiveness of mindfulness-based approaches in promoting mental well-being and guide mental health practitioners in designing intervention programs	effectiveness	DT	IN	91	112	92
chatgpt-200-1_003	mindfulness-based approaches	approaches	VBN	IN	94	97	97
chatgpt-200-1_003	mental well-being	being	HYPH	CC	100	103	103
chatgpt-200-1_003	mental health practitioners	practitioners	NN	IN	106	108	108
chatgpt-200-1_003	intervention programs	programs	NN	.	111	112	112
chatgpt-200-1_004	The rise of online learning platforms	rise	DT	IN	0	5	1
chatgpt-200-1_004	online learning platforms	platforms	NN	VBZ	3	5	5
chatgpt-200-1_004	the field of education	field	DT	IN	8	11	9
chatgpt-200-1_004	education	education	IN	VBG	11	11	11
chatgpt-200-1_004	flexible and accessible learning opportunities	opportunities	NN	.	14	18	18
chatgpt-200-1_004	This research project	project	NN	VBZ	20	22	22
chatgpt-200-1_004	the effectiveness of online learning in student outcomes	effectiveness	DT	IN	26	33	27
chatgpt-200-1_004	online learning in student outcomes	learning	JJ	IN	29	33	30
chatgpt-200-1_004	student outcomes	outcomes	NN	.	32	33	33
chatgpt-200-1_004	student performance data, satisfaction surveys, and course completion rates	data	NN	NN	37	47	39
chatgpt-200-1_004	satisfaction surveys, and course completion rates	surveys	NN	CC	41	47	42
chatgpt-200-1_004	course completion rates	rates	NN	PRP	45	47	47
chatgpt-200-1_004	we	we	,	MD	49	49	49
chatgpt-200-1_004	significance testing	testing	NN	TO	52	53	53
chatgpt-200-1_004	who	who	NNS	VBP	58	58	58
chatgpt-200-1_004	online learning experience	experience	NN	JJ	61	63	63
chatgpt-200-1_004	those in traditional classroom settings	those	IN	IN	71	75	71
chatgpt-200-1_004	traditional classroom settings	settings	NN	.	73	75	75
chatgpt-200-1_004	The findings of this study	findings	DT	IN	77	81	78
chatgpt-200-1_004	this study	study	DT	MD	80	81	81
chatgpt-200-1_004	insights into the effectiveness of online learning	insights	VB	IN	84	90	84
chatgpt-200-1_004	the effectiveness of online learning	effectiveness	DT	IN	86	90	87
chatgpt-200-1_004	online learning	learning	NN	CC	89	90	90
chatgpt-200-1_004	educational institutions	institutions	JJ	IN	93	94	94
chatgpt-200-1_004	effective online learning environments	environments	VBG	.	97	100	100
chatgpt-200-1_005	Mental health issues	issues	NN	VBP	0	2	2
chatgpt-200-1_005	a global concern	concern	JJ	VBG	5	7	7
chatgpt-200-1_005	individuals across various demographics	individuals	VBG	IN	10	13	10
chatgpt-200-1_005	various demographics	demographics	JJ	.	12	13	13
chatgpt-200-1_005	This research project	project	NN	VBZ	15	17	17
chatgpt-200-1_005	the impact of mindfulness-based interventions on mental well-being	impact	DT	IN	21	32	22
chatgpt-200-1_005	mindfulness-based interventions on mental well-being	interventions	VBN	IN	24	32	27
chatgpt-200-1_005	mental well-being	being	HYPH	.	29	32	32
chatgpt-200-1_005	mental health assessments	assessments	NN	NN	36	38	38
chatgpt-200-1_005	we	we	,	MD	51	51	51
chatgpt-200-1_005	significance testing	testing	NN	TO	54	55	55
chatgpt-200-1_005	individuals who engage in mindfulness-based interventions experience	individuals	IN	WP	59	67	59
chatgpt-200-1_005	who	who	NNS	VBP	60	60	60
chatgpt-200-1_005	mindfulness-based interventions experience	experience	NNS	VBD	63	67	67
chatgpt-200-1_005	mental well-being	being	HYPH	CC	69	72	72
chatgpt-200-1_005	stress, anxiety, and depression	stress	IN	NN	77	82	77
chatgpt-200-1_005	anxiety, and depression	anxiety	,	CC	79	82	79
chatgpt-200-1_005	depression	depression	CC	VBN	82	82	82
chatgpt-200-1_005	those who do not engage in such interventions	those	IN	WP	85	92	85
chatgpt-200-1_005	who	who	DT	VBP	86	86	86
chatgpt-200-1_005	such interventions	interventions	JJ	.	91	92	92
chatgpt-200-1_005	The findings of this study	findings	DT	IN	94	98	95
chatgpt-200-1_005	this study	study	DT	MD	97	98	98
chatgpt-200-1_005	insights into the effectiveness of mindfulness approaches in promoting mental well-being and guide mental health practitioners in designing evidence-based interventions	insights	VB	IN	101	124	101
